選區,政黨,候選人,FB,wikidata id,Line,IG,登記日期
高雄市第四選舉區,無黨籍,周凱崙,https://www.facebook.com/salesALUN/,,,,
高雄市第四選舉區,台灣維新,黃兆呈,https://www.facebook.com/%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA%E9%BB%83%E5%85%86%E5%91%88-103958804286330/,,,,2019/11/18
高雄市第五選舉區,中國國民黨,黃柏霖,https://www.facebook.com/polin66666/,Q8274108,,,2019/11/18
高雄市第五選舉區,民主進步黨,李昆澤,https://www.facebook.com/power2tw/,Q8349723,,,
高雄市第五選舉區,台灣民眾黨,李佳玲,https://www.facebook.com/KHCTPP/,,,,
高雄市第六選舉區,中國國民黨,陳美雅,https://www.facebook.com/meiya5881555/,Q21449528,,,
高雄市第六選舉區,民主進步黨,趙天麟,https://www.facebook.com/skychao6238/,Q8347665,,,
高雄市第六選舉區,國會政黨聯盟,李鎔任,https://www.facebook.com/%E6%9D%8E%E9%8E%94%E4%BB%BB-2118046635101730/,,,,
高雄市第六選舉區,台灣維新,李建輝,https://www.facebook.com/lichienhui/,,,,
高雄市第六選舉區,無黨籍,吳佩蓉,https://www.facebook.com/pjw.kaohsiung100/,,,,
高雄市第七選舉區,中國國民黨,李雅靜,https://www.facebook.com/fiorina1224/,Q47691457,,,
高雄市第七選舉區,民主進步黨,許智傑,https://www.facebook.com/leer0105/,Q8349077,,,
高雄市第七選舉區,時代力量,陳惠敏,https://www.facebook.com/huiminkh/,Q66809788,,,2019/11/18
高雄市第七選舉區,親民黨,秦詩雁,https://www.facebook.com/%E7%A7%A6%E8%A9%A9%E9%9B%81-105520664202332/,,,,2019/11/18
高雄市第七選舉區,無黨籍,葉鳳強,,,,,2019/11/18
高雄市第八選舉區,中國國民黨,陳麗娜,https://www.facebook.com/Lina100gogo/,Q67934439,,,
高雄市第八選舉區,民主進步黨,賴瑞隆,https://www.facebook.com/zenolai2/,Q19825797,,,
高雄市第八選舉區,台灣民眾黨,敖博勝,https://www.facebook.com/aouby1976/,,,,
基隆市選舉區,中國國民黨,宋瑋莉,https://www.facebook.com/sungweili729/,Q21652185,,,
基隆市選舉區,民主進步黨,蔡適應,https://www.facebook.com/keelungING/,Q8347638,,,
基隆市選舉區,國會政黨聯盟,楊石城,https://www.facebook.com/keelungShicheng/,,,,
基隆市選舉區,台灣維新,陳志成,,,,,
基隆市選舉區,無黨籍,張耿輝,https://www.facebook.com/%E5%BC%B5%E8%80%BF%E8%BC%9D-319628701384131/,,,,
宜蘭縣選舉區,中國國民黨,呂國華,https://www.facebook.com/yilan20/,Q8274929,,,2019/11/18
宜蘭縣選舉區,民主進步黨,陳歐珀,https://www.facebook.com/chenoupo/,Q8347997,,,
宜蘭縣選舉區,無黨籍,孫博萮,https://www.facebook.com/FishSun.tw/,,,,
宜蘭縣選舉區,無黨籍,黃定和,https://www.facebook.com/h706277fans/,Q47689441,,,2019/11/18
新竹縣第一選舉區,中國國民黨,林為洲,https://www.facebook.com/linweijo/,Q8351569,,,
新竹縣第一選舉區,民主進步黨,周江杰,https://www.facebook.com/CCCHOUwin/,,,,
新竹縣第一選舉區,綠黨,余筱菁,https://www.facebook.com/Hakkameme.LoveTaiwan/,,,,
新竹縣第一選舉區,國會政黨聯盟,吳旭智,https://www.facebook.com/Morning.MKT/,Q22099775,,,
新竹縣第二選舉區,中國國民黨,林思銘,https://www.facebook.com/%E6%9E%97%E6%80%9D%E9%8A%98-%E5%B9%B8%E7%A6%8F%E9%A0%98%E8%88%AA-%E6%96%B0%E7%AB%B9%E5%87%BA%E7%99%BC-282048612723007/,Q67934535,,,
新竹縣第二選舉區,民主進步黨,鄭朝方,https://www.facebook.com/newchange13/,Q16259936,,,
新竹縣第二選舉區,綠黨,陳冠宇,,,,,
新竹縣第二選舉區,國會政黨聯盟,邱靖雅,https://www.facebook.com/joinus.tw/,Q18119253,,,
新竹縣第二選舉區,台灣民眾黨,林碩彥,https://www.facebook.com/zhubeipeoplesquare/,,,,
新竹縣第二選舉區,台灣基進,劉士睿,,,,,2019/11/18
